sto:ISO_42010, en.wikipedia.org/wiki/ISO/IEC_42010, dbpedia.org/resource/ISO/IEC_42010
sto:IEEE_1686, en.wikipedia.org/wiki/IEEE_Smart_Grid, dbpedia.org/resource/IEEE_Smart_Grid
sto:ISO_27018, en.wikipedia.org/wiki/ISO/IEC_27000-series, dbpedia.org/resource/ISO/IEC_27000-series
sto:DIN_EN_ISO_13849, en.wikipedia.org/wiki/ISO_13849, dbpedia.org/resource/ISO_13849
sto:DIN_EN_50155, en.wikipedia.org/wiki/EN_50155, dbpedia.org/resource/EN_50155
sto:ISO_27036, en.wikipedia.org/wiki/ISO/IEC_27000-series, dbpedia.org/resource/ISO/IEC_27000-series
sto:ISO_19770, en.wikipedia.org/wiki/ISO/IEC_19770, dbpedia.org/resource/ISO/IEC_19770
sto:RFC_768, en.wikipedia.org/wiki/User_Datagram_Protocol, dbpedia.org/resource/User_Datagram_Protocol
sto:IEC_61513, en.wikipedia.org/wiki/IEC_61508, dbpedia.org/resource/IEC_61508
sto:ISO_27017, en.wikipedia.org/wiki/ISO/IEC_27000-series, dbpedia.org/resource/ISO/IEC_27000-series
sto:ISO_18629, en.wikipedia.org/wiki/Process_Specification_Language, dbpedia.org/resource/Process_Specification_Language
